day,n,room_count,rooms_raw,realized_makespan,bucket
2021-06-09,15,7,7,507.9,15
2021-12-27,15,7,7,542.15,15
2021-09-02,16,8,8,597.35,15
2021-03-16,14,6,6,540.6666666666666,15
2021-07-12,16,8,8,532.8,15
2020-12-28,15,5,5,499.68333333333334,15
2020-01-30,16,7,7,705.2833333333333,15
2021-12-20,16,7,7,620.3166666666667,15
2020-12-15,16,6,6,527.1666666666666,15
2021-04-08,14,6,6,517.2666666666667,15
2020-10-09,14,6,6,484.26666666666665,15
2021-07-29,14,6,6,576.3833333333333,15
2020-12-29,14,5,5,728.8333333333334,15
2021-10-18,16,6,6,513.15,15
2023-04-15,14,6,6,341.18333333333334,15
2020-05-12,14,3,3,647.5,15
2021-01-04,16,5,5,534.5,15
2020-12-23,16,8,8,437.76666666666665,15
2020-10-02,14,9,9,510.03333333333336,15
2020-06-04,15,5,5,630.1166666666667,15
2021-09-23,16,8,8,631.8833333333333,15
2020-11-16,15,7,7,531.0333333333333,15
2022-07-13,16,6,6,686.65,15
2023-09-30,15,1,1,457.76666666666665,15
2022-04-22,16,7,7,518.3333333333334,15
2021-09-27,16,7,7,594.8,15
2021-07-26,16,7,7,568.2333333333333,15
2020-05-14,15,5,5,722.5833333333334,15
2020-02-17,16,8,8,840.4166666666666,15
2021-08-06,14,7,7,429.8666666666667,15
2020-03-06,21,6,6,665.0333333333333,20
2021-12-14,21,8,8,750.95,20
2020-03-18,21,7,7,550.6833333333333,20
2021-11-02,21,6,6,664.9333333333333,20
2020-12-14,21,7,7,543.45,20
2020-11-17,21,8,8,546.35,20
2022-03-09,19,8,8,607.0333333333333,20
2023-01-17,19,8,8,622.0666666666667,20
2021-01-06,20,6,6,533.7333333333333,20
2021-04-06,20,5,5,527.05,20
2022-09-20,19,7,7,541.65,20
2021-10-07,20,7,7,492.56666666666666,20
2022-04-08,21,9,9,596.1833333333333,20
2021-03-24,19,7,7,516.4,20
2020-10-16,19,7,7,456.28333333333336,20
2020-09-29,20,7,7,514.2833333333333,20
2021-10-25,21,7,7,738.3833333333333,20
2021-12-10,19,7,7,590.9166666666666,20
2021-04-07,19,7,7,551.15,20
2021-10-04,19,6,6,624.9166666666666,20
2022-06-10,21,8,8,676.1833333333333,20
2021-12-21,21,9,9,693.0,20
2020-08-20,20,6,6,523.5666666666667,20
2020-11-12,19,9,9,545.0,20
2021-08-10,20,7,7,572.1166666666667,20
2022-11-28,20,9,9,637.4,20
2020-09-30,21,6,6,526.1833333333333,20
2022-06-13,21,9,9,619.85,20
2021-01-05,19,7,7,527.2666666666667,20
2020-01-31,19,7,7,559.55,20
2022-06-15,26,9,9,623.65,25
2021-12-15,24,8,8,765.7833333333333,25
2023-01-26,24,8,8,703.1333333333333,25
2023-06-12,24,11,11,776.85,25
2023-06-20,26,11,11,629.9833333333333,25
2022-12-19,24,9,9,658.3333333333334,25
2022-11-22,25,10,10,817.4166666666666,25
2022-10-11,24,10,10,584.95,25
2021-12-17,24,9,9,459.3,25
2021-11-16,26,8,8,682.3666666666667,25
2020-10-26,24,8,8,496.3666666666667,25
2021-12-03,25,8,8,706.0666666666667,25
2020-11-09,24,8,8,559.4666666666667,25
2023-11-18,24,5,5,561.4666666666667,25
2023-02-15,25,9,9,646.55,25
2022-01-05,26,9,9,665.3333333333334,25
2022-05-03,26,8,8,515.7833333333333,25
2021-07-14,24,7,7,516.8833333333333,25
2020-10-08,26,8,8,519.25,25
2022-10-04,26,11,11,710.9,25
2020-01-06,24,8,8,696.3,25
2021-10-13,24,7,7,535.7166666666667,25
2020-12-02,26,8,8,530.15,25
2020-11-02,24,8,8,640.6166666666667,25
2023-12-22,24,9,9,685.9333333333333,25
2023-02-17,24,9,9,751.55,25
2022-11-08,25,11,11,700.7666666666667,25
2023-02-20,24,10,10,664.8,25
2021-11-08,24,9,9,713.9333333333333,25
2020-02-13,25,8,8,633.1666666666666,25
2020-10-15,29,7,7,518.25,30
2022-01-19,29,10,10,674.2333333333333,30
2021-12-30,30,9,9,547.2333333333333,30
2023-12-08,29,9,9,391.0,30
2023-12-28,29,11,11,695.4333333333333,30
2023-03-31,29,10,10,688.0833333333334,30
2023-07-25,30,11,11,810.2833333333333,30
2023-05-09,29,12,12,737.65,30
2022-11-09,30,11,11,697.4333333333333,30
2023-01-31,31,8,8,704.0,30
2022-08-05,31,10,10,669.3833333333333,30
2022-10-07,29,11,11,691.9333333333333,30
2022-12-15,31,11,11,799.05,30
2022-04-07,31,10,10,695.0,30
2022-11-11,29,11,11,755.6166666666667,30
2023-02-27,29,11,11,693.9166666666666,30
2023-07-04,31,10,10,653.7333333333333,30
2021-11-10,30,8,8,665.8,30
2021-11-24,29,9,9,697.3833333333333,30
2020-03-04,30,8,8,705.1833333333333,30
2022-08-08,31,10,10,708.7666666666667,30
2022-10-27,31,9,9,759.5,30
2022-04-13,30,9,9,554.05,30
2022-10-17,30,11,11,719.9666666666667,30
2022-05-10,30,9,9,713.1166666666667,30
2023-11-13,31,12,12,792.0166666666667,30
2022-03-16,31,8,8,696.8,30
2023-06-01,31,12,12,581.45,30
2023-11-07,29,12,12,779.7833333333333,30
2022-10-05,30,12,12,698.7333333333333,30
